lit_pretest,math_pretest,lit_posttest,math_posttest,ses,pct_frpl,yrsprek,yrsk,yrs1st,basicmath,childcentmath,childcentlit,basiclit
36.58,39.54,49.37,50.1,1.49,0,0,2,0,0.256623739,0.048819703,0.18139767,0.020401115
50.82,44.44,83.5,58.93,1.56,0,0,2,0,0.256623739,0.048819703,0.18139767,0.020401115
40.68,28.57,40.41,32.81,1.61,0,0,2,0,0.256623739,0.048819703,0.18139767,0.020401115
34.72,26.62,42.06,34.37,1.04,0,0,2,0,0.256623739,0.048819703,0.18139767,0.020401115
38.28,40.88,50.4,38.86,1.99,0,0,2,0,0.256623739,0.048819703,0.18139767,0.020401115
32.57,23.57,34.14,35.25,1.55,0,0,2,0,0.256623739,0.048819703,0.18139767,0.020401115
31.98,19.65,32.84,23.6,0.62,0,0,2,0,0.256623739,0.048819703,0.18139767,0.020401115
32.49,20.82,38.52,29.09,-0.21,0,0,2,0,0.256623739,0.048819703,0.18139767,0.020401115
33.3,26.85,36.72,32.22,1.41,0,0,2,0,0.256623739,0.048819703,0.18139767,0.020401115
65.92,47.36,84.61,59.89,1.08,0,0,2,0,0.256623739,0.048819703,0.18139767,0.020401115
62.43,62.32,99.43,78.65,2.26,0,0,2,0,0.256623739,0.048819703,0.18139767,0.020401115
34.2,22.27,39.87,27.44,0.43,0,0,2,0,0.256623739,0.048819703,0.18139767,0.020401115
38.8,32.57,51.60605,53.28426,1.61,0,0,2,0,0.256623739,0.048819703,0.18139767,0.020401115
43.01,33.26,46.24,35.24,0.54,46.2,1,8,0,0.003536576,0.080915744,-0.109165659,0.111368929
32.44,23.7,40.93,31.04,-0.62,46.2,1,8,0,0.003536576,0.080915744,-0.109165659,0.111368929
27.81,18.64,39.6,25.58,0.15,46.2,1,8,0,0.003536576,0.080915744,-0.109165659,0.111368929
32.05,20.27,40.36,23.57,-0.24,46.2,1,8,0,0.003536576,0.080915744,-0.109165659,0.111368929
26.85,25.83,33.15,34.26,-0.19,46.2,1,8,0,0.003536576,0.080915744,-0.109165659,0.111368929
32.96,21.4,37.47,30.99,-0.74,46.2,1,8,0,0.003536576,0.080915744,-0.109165659,0.111368929
43.8,34.63,51.26,40.13,-0.47,46.2,1,8,0,0.003536576,0.080915744,-0.109165659,0.111368929
37.42,29.9,46.36,39.68,-0.41,46.2,1,8,0,0.003536576,0.080915744,-0.109165659,0.111368929
36.05,27.04,43.43,42.97,-0.12,46.2,1,8,0,0.003536576,0.080915744,-0.109165659,0.111368929
30.98,30.43,40.15,33.61,-0.64,46.2,1,8,0,0.003536576,0.080915744,-0.109165659,0.111368929
30.73,25.25,44.35,38.75,-0.65,46.2,1,8,0,0.003536576,0.080915744,-0.109165659,0.111368929
85.91,44.52,120.88,53.18,-0.55,46.2,1,8,0,0.003536576,0.080915744,-0.109165659,0.111368929
48.32,40.94,50.6,48.69,-2.93,46.2,0,1,0,0.024385783,-0.266439771,-0.079593061,-0.059707353
27.85,20.32,33.9,28.91,-1.1,46.2,0,1,0,0.024385783,-0.266439771,-0.079593061,-0.059707353
27.9,20.23,43.24,31.35,-0.93,46.2,0,1,0,0.024385783,-0.266439771,-0.079593061,-0.059707353
